,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
387,zabrisce,0,BA,1546567200,63,43.79,16.94,32.0,18.34
388,padang,75,ID,1546563600,100,-0.92,100.36,75.2,6.93
389,nouadhibou,64,MR,1546568516,63,20.93,-17.03,63.68,13.13
390,flin flon,0,CA,1546568517,82,54.77,-101.88,19.4,7.54
391,port-cartier,20,CA,1546566540,76,50.03,-66.88,-4.01,3.36
392,camacha,20,PT,1546567200,72,33.08,-16.33,59.0,4.7
393,caravelas,20,BR,1546568533,100,-17.73,-39.27,80.29,19.28
394,krasnyy yar,92,RU,1546568534,90,50.7,44.73,20.35,12.12
395,baykit,92,RU,1546568535,62,61.68,96.39,-8.46,5.3
396,deputatskiy,8,RU,1546568535,0,69.3,139.9,-23.72,5.08
397,salisbury,0,GB,1546566600,86,51.07,-1.8,35.6,4.7
398,ugoofaaru,48,MV,1546568536,100,5.67,73.0,82.54,17.72
399,islamkot,0,PK,1546568537,77,24.7,70.18,48.15,3.62
400,vanimo,48,PG,1546568538,100,-2.67,141.3,82.54,22.08
401,ingham,0,AU,1546568539,85,-18.65,146.16,82.22,10.67
402,radcliff,1,US,1546568100,96,37.84,-85.95,39.02,2.95
403,launceston,0,AU,1546565400,48,-41.43,147.14,82.4,17.22
404,petropavlovsk-kamchatskiy,0,RU,1546565400,49,53.05,158.65,3.2,6.71
405,black river,20,JM,1546567200,74,18.03,-77.85,80.6,11.41
406,siyabuswa,36,ZA,1546568542,94,-25.11,29.06,57.02,2.28
407,srednekolymsk,56,RU,1546568542,66,67.46,153.71,-4.23,3.4
408,puerto madryn,76,AR,1546568543,55,-42.77,-65.04,68.94,4.41
409,tabora,92,TZ,1546568544,99,-5.02,32.81,63.19,2.28
410,talaya,68,RU,1546565400,75,55.79,84.89,-13.01,2.24
411,kirakira,88,SB,1546568545,100,-10.46,161.92,79.7,3.85
412,matara,92,PE,1546568545,94,-13.74,-72.9,46.17,1.5
413,maku,20,IR,1546566660,92,39.29,44.45,24.8,4.63
414,lamar,1,US,1546566780,56,38.09,-102.62,26.06,9.17
415,sinnamary,100,GF,1546568547,100,5.38,-52.96,75.11,9.66
416,varnavino,88,RU,1546568548,92,61.19,46.56,22.24,1.16
417,fairbanks,20,US,1546563480,81,64.84,-147.72,-10.31,3.4
418,sotouboua,0,TG,1546568549,63,8.56,0.98,66.43,2.06
419,phonhong,75,LA,1546565400,94,18.5,102.42,69.8,2.24
420,yinchuan,24,CN,1546568551,52,38.48,106.21,13.32,4.63
421,nizwa,12,OM,1546568551,73,22.93,57.53,48.79,1.95
422,monopoli,75,IT,1546566600,59,40.95,17.3,37.4,18.34
423,peace river,75,CA,1546563600,72,56.23,-117.29,15.8,5.82
424,richards bay,44,ZA,1546568553,98,-28.77,32.06,65.8,5.19
425,bereda,90,ES,1546565400,80,43.27,-7.54,32.0,6.93
426,farah,92,AF,1546568554,75,32.37,62.11,44.78,1.72
427,virginia beach,90,US,1546567200,92,36.85,-75.98,50.0,3.51
428,kitimat,90,CA,1546563600,80,54.02,-128.69,30.2,21.92
429,port blair,0,IN,1546568557,100,11.67,92.75,82.13,17.38
430,vanavara,44,RU,1546568558,60,60.35,102.28,-12.92,6.31
431,constitucion,40,MX,1546566240,21,23.99,-104.67,60.8,5.82
432,farafangana,44,MG,1546568559,100,-22.82,47.83,78.53,6.64
433,halifax,90,CA,1546563600,92,44.65,-63.58,19.4,8.05
434,mount isa,40,AU,1546565400,21,-20.73,139.49,100.4,6.93
435,yar-sale,80,RU,1546568561,97,66.83,70.83,17.82,12.01
436,coihaique,0,CL,1546563600,55,-45.58,-72.07,60.8,8.05
437,itaqui,0,BR,1546568562,88,-29.13,-56.55,68.22,15.26
438,velyka lepetykha,80,UA,1546568562,100,47.18,33.94,28.0,13.02
439,kota tinggi,75,MY,1546567200,70,1.73,103.9,86.0,8.05
440,kanniyakumari,0,IN,1546568509,100,8.08,77.57,76.28,28.12
441,bambanglipuro,0,ID,1546568579,73,-7.95,110.28,84.47,5.3
442,luocheng,92,CN,1546568579,100,28.29,114.55,42.17,4.18
443,klaksvik,92,FO,1546566600,93,62.23,-6.59,48.2,10.29
444,san jose,68,PH,1546568515,90,15.79,120.99,75.16,7.2
445,luderitz,24,NA,1546568582,87,-26.65,15.16,59.0,13.8
446,pangai,90,TO,1546567200,88,-19.8,-174.35,77.0,9.17
447,iracoubo,88,GF,1546568583,97,5.48,-53.21,72.91,4.63
448,balta,8,UA,1546568584,71,47.94,29.62,8.74,2.95
449,ludwigslust,88,DE,1546568584,91,53.33,11.5,30.15,10.22
450,santa cruz cabralia,0,BR,1546567200,83,-16.28,-39.02,77.0,4.7
451,ketchikan,1,US,1546566960,77,55.34,-131.65,37.04,10.29
452,victoria,75,BN,1546565400,74,5.28,115.24,89.6,5.82
453,lixourion,88,GR,1546568587,100,38.2,20.43,46.17,7.43
454,rothes,90,GB,1546566600,80,57.53,-3.21,42.8,8.05
455,ushumun,44,RU,1546568588,67,52.78,126.54,-9.77,3.74
456,fukue,20,JP,1546565400,100,35.03,136.69,44.6,5.82
457,orange cove,40,US,1546566960,56,36.62,-119.31,51.98,5.82
458,los llanos de aridane,20,ES,1546567200,67,28.66,-17.92,62.6,6.93
459,hedaru,88,TZ,1546568590,99,-4.5,37.91,69.31,3.06
460,khuzhir,32,RU,1546568591,72,53.19,107.35,-11.83,4.63
461,sistranda,75,NO,1546566600,93,63.73,8.83,44.6,26.4
462,itarema,92,BR,1546568592,88,-2.92,-39.92,78.31,11.56
463,san cristobal,75,EC,1546563600,82,-0.39,-78.55,59.0,5.82
464,camocim,80,BR,1546568594,86,-2.9,-40.84,78.48,11.79
465,trelew,36,AR,1546568594,28,-43.25,-65.31,70.52,6.31
466,coquimbo,0,CL,1546563600,82,-29.95,-71.34,59.0,5.82
467,prince rupert,90,CA,1546563600,100,54.32,-130.32,32.0,2.24
468,sechura,0,PE,1546568596,87,-5.56,-80.82,71.37,7.99
469,vestmanna,92,FO,1546566600,93,62.16,-7.17,48.2,10.29
470,leshukonskoye,68,RU,1546568597,87,64.9,45.76,15.31,3.06
471,abashiri,20,JP,1546563600,66,44.01,144.25,14.0,6.93
472,ocampo,76,PH,1546568598,86,13.56,123.37,80.29,18.5
473,vila,0,IT,1546566600,58,45.18,8.4,28.4,5.82
474,margate,0,AU,1546565940,42,-43.03,147.26,82.4,17.22
475,marrakesh,0,MA,1546567200,75,31.63,-7.99,41.0,3.36
476,mount gambier,90,AU,1546567200,72,-37.83,140.78,68.0,18.34
477,katsuura,20,JP,1546563600,60,33.93,134.5,44.6,4.7
478,inhambane,80,MZ,1546568603,100,-23.87,35.38,74.97,5.75
479,kainantu,36,PG,1546568604,79,-6.29,145.87,75.33,1.95
480,shimoda,75,JP,1546563600,45,34.7,138.93,48.2,10.29
481,pandan,44,PH,1546568605,96,11.72,122.09,81.64,25.88
482,mtwara,0,TZ,1546568606,100,-10.28,40.18,79.83,4.41
483,qujing,12,CN,1546568606,69,25.49,103.8,52.93,7.43
484,mende,8,FR,1546568607,57,44.52,3.5,21.2,4.63
485,amapa,20,HN,1546567200,83,15.09,-87.97,77.0,3.36
486,san carlos,8,VE,1546568609,55,9.66,-68.59,81.19,7.54
487,vigrestad,75,NO,1546564800,93,58.57,5.7,39.2,8.05
488,yablonovo,75,RU,1546565400,100,50.85,37.36,28.4,6.71
489,lufilufi,75,WS,1546567200,66,-13.87,-171.6,89.6,12.75
490,beringovskiy,0,RU,1546568628,100,63.05,179.32,-18.32,18.28
491,dwarka,90,IN,1546565400,100,28.58,77.04,46.4,5.82
492,poum,80,MK,1546568629,76,41.28,20.71,15.4,1.95
493,zhigansk,56,RU,1546568630,75,66.77,123.37,-11.43,8.43
494,sillod,0,IN,1546563600,76,20.3,75.65,51.8,2.73
495,sibiti,80,CG,1546568631,99,-3.69,13.35,69.85,2.51
496,beloha,80,MG,1546568632,95,-25.17,45.06,73.35,5.41
497,zalantun,0,CN,1546568633,34,48.0,122.72,9.5,10.45
498,udachnyy,8,RU,1546568633,58,66.42,112.4,-7.2,5.53
499,cotonou,20,BJ,1546563600,88,6.37,2.43,80.6,2.24
500,kirovskiy,24,RU,1546568635,55,45.09,133.51,16.65,3.51
501,nenjiang,56,CN,1546568635,56,49.17,125.23,2.75,7.76
502,pachino,0,IT,1546568338,100,36.72,15.09,46.85,21.3
503,port macquarie,0,AU,1546563600,49,-31.43,152.91,89.6,8.05
504,kampene,64,CD,1546568637,98,-3.59,26.67,68.5,1.61
505,thunder bay,75,CA,1546565640,100,48.41,-89.26,30.2,5.82
506,khuldabad,0,IN,1546563600,76,20.05,75.18,51.8,2.84
507,kichera,0,RU,1546568638,32,55.93,110.1,-23.58,1.95
508,dalaba,0,GN,1546568639,69,10.69,-12.25,54.19,3.18
509,evensk,12,RU,1546568639,100,61.92,159.24,-3.64,8.21
510,new glasgow,56,CA,1546568640,90,45.59,-62.65,7.65,2.95
511,ratnagiri,0,IN,1546568641,100,16.98,73.3,77.18,5.19
512,chingola,24,ZM,1546568642,94,-12.55,27.86,61.39,2.84
513,bitung,40,ID,1546565400,74,1.44,125.19,84.2,1.12
514,nauta,12,PE,1546568643,96,-4.51,-73.58,74.3,2.73
515,onverwacht,40,SR,1546567200,94,5.59,-55.2,77.0,3.36
516,ostashkov,92,RU,1546568644,92,57.14,33.12,25.65,8.1
517,kinlochleven,88,GB,1546568645,90,56.71,-4.97,29.48,4.63
518,uyemskiy,75,RU,1546565400,84,64.47,40.85,-0.41,2.95
519,ati,20,TD,1546568647,35,13.21,18.34,63.45,7.54
520,sao joao del rei,80,BR,1546568629,97,-21.14,-44.26,65.93,2.73
521,yulara,36,AU,1546563600,8,-25.24,130.99,104.0,8.05
522,valparaiso,1,US,1546566960,78,41.47,-87.06,35.96,12.75
523,aleysk,32,RU,1546568650,65,52.5,82.77,-14.31,7.31
524,bilibino,44,RU,1546568650,39,68.06,166.44,-26.73,2.39
525,gamba,0,CN,1546568652,67,28.28,88.52,-7.33,7.54
526,trzacka rastela,48,BA,1546568653,70,44.97,15.79,24.35,6.76
527,marsa matruh,0,EG,1546563600,61,31.35,27.25,48.2,10.29
528,kunya,0,NG,1546563600,54,12.22,8.53,59.0,3.36
529,mawlaik,48,MM,1546568670,62,23.63,94.42,63.0,2.84
530,vanderhoof,88,CA,1546568671,93,54.02,-124.02,27.05,2.73
531,anloga,20,GH,1546563600,83,5.79,0.9,82.4,4.7
532,port hardy,75,CA,1546566900,93,50.7,-127.42,44.6,2.24
533,mwinilunga,24,ZM,1546568672,97,-11.73,24.43,61.39,2.39
534,sfantu gheorghe,0,RO,1546567200,80,44.65,26.83,30.2,6.93
535,ryotsu,75,JP,1546567200,75,38.08,138.43,41.0,14.99
536,cubuk,75,TR,1546566600,86,40.24,33.03,44.6,4.7
537,wagar,92,US,1546568675,96,31.44,-87.99,64.81,8.77
538,jacareacanga,24,BR,1546568675,97,-6.22,-57.76,74.07,2.17
539,sambava,12,MG,1546568676,100,-14.27,50.17,79.43,4.18
